Params,total steps,lr,Avg Train Loss,Max Train Loss,C4 Eval PPL,Wiki Eval PPL,C4 Eval Loss,Wiki Eval Loss,C,Approx_C_no_emb,Approx_C,D,N_no_emb,N,total train ZFLOPs,goal train tokens,tok / sec,act. check?,vocab,num GPUs,local bsz,batch size,seq len,tok / batch,layers,model dim,FFN dim,n heads,head size,attn params / layer,FFN params / layer,params / layer,total norm params,total non-emb params,total emb params,NEW # params,HW TFLOP/s/GPU,Model FLOP Util,days to finish,attn FLOPS per layer-token,Proj FLOPs per layer-token,FFN FLOPs per layer-token,Body FLOPs,logits FLOPS,FLOPs / update,FLOPS / update w/ rema,% FLOPS Proj,% FLOPS FFN,% FLOPS logit,% FLOPS attn,updates per second
,,4E-03,3.022,3.299,24.401,18.806,3.195,2.934,1.51E+18,7.73E+17,1.42E+18,2621440000,49165440,90125440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4,000",,,,,,,,,,,,49165440,90125440,2.4E-03,4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,2.957,3.302,22.528,16.940,3.115,2.830,2.41E+18,1.24E+18,2.27E+18,4194304000,49165440,90125440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,2.934,3.284,22.025,16.357,3.092,2.795,2.41E+18,1.24E+18,2.27E+18,4194304000,49165440,90125440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,2.945,3.291,22.370,16.547,3.108,2.806,2.41E+18,1.24E+18,2.27E+18,4194304000,49165440,90125440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"16,000",,,,,,,,,,,,49165440,90125440,9.6E-03,17B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,2.785,3.013,18.729,12.785,2.930,2.548,9.65E+18,4.95E+18,9.07E+18,16777216000,49165440,90125440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,2.785,3.009,18.757,12.765,2.932,2.547,9.65E+18,4.95E+18,9.07E+18,16777216000,49165440,90125440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,2.791,3.018,18.895,12.920,2.939,2.559,9.65E+18,4.95E+18,9.07E+18,16777216000,49165440,90125440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"63,991",,,,,,,,,,,,49165440,90125440,1.4E-02,67B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,,,,,,,1.43E+19,1.98E+19,3.63E+19,67099473074,49165440,90125440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,,,,,,,1.43E+19,1.98E+19,3.63E+19,67099473074,49165440,90125440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,,,,,,,1.43E+19,1.98E+19,3.63E+19,67099473074,49165440,90125440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70M,,,,,,,,,,,,,71386304,116442304,,,,0,32.0K,16,32,512,2048,1.0M,12,704,2816,11,64,2.0M,4.0M,5.9M,17.6K,71.4M,45.1M,116.4M,,,,1.7E+07,1.2E+07,2.4E+07,6.7E+14,1.4E+14,8.1E+14,8.1E+14,19%,37%,17.5%,26.9%,
,500,,,,,,,,,,,,71386304,116442304,4.0E-04,524M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.927,4.134,57.223,70.158,4.047,4.251,4.04E+17,2.25E+17,3.66E+17,524288000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.765,3.988,49.540,58.191,3.903,4.064,4.04E+17,2.25E+17,3.66E+17,524288000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.895,4.114,55.532,66.874,4.017,4.203,4.04E+17,2.25E+17,3.66E+17,524288000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,750,,,,,,,,,,,,71386304,116442304,6.1E-04,786M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.525,3.891,38.372,38.406,3.647,3.648,6.06E+17,3.37E+17,5.49E+17,786432000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.445,3.838,35.667,34.073,3.574,3.528,6.06E+17,3.37E+17,5.49E+17,786432000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.500,3.881,37.617,35.683,3.627,3.575,6.06E+17,3.37E+17,5.49E+17,786432000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,000",,,,,,,,,,,,71386304,116442304,8.1E-04,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.323,3.551,32.324,29.521,3.476,3.385,8.08E+17,4.49E+17,7.33E+17,1048576000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.260,3.492,30.456,27.134,3.416,3.301,8.08E+17,4.49E+17,7.33E+17,1048576000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.300,3.530,31.700,28.025,3.456,3.333,8.08E+17,4.49E+17,7.33E+17,1048576000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,250",,,,,,,,,,,,71386304,116442304,1.0E-03,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.228,3.529,29.065,25.104,3.370,3.223,1.01E+18,5.61E+17,9.16E+17,1310720000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.174,3.488,27.671,23.507,3.320,3.157,1.01E+18,5.61E+17,9.16E+17,1310720000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.217,3.524,28.934,24.189,3.365,3.186,1.01E+18,5.61E+17,9.16E+17,1310720000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,500",,,,,,,,,,,,71386304,116442304,1.2E-03,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.139,3.425,27.036,22.568,3.297,3.117,1.21E+18,6.74E+17,1.10E+18,1572864000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.092,3.371,25.875,21.285,3.253,3.058,1.21E+18,6.74E+17,1.10E+18,1572864000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.138,3.413,27.204,22.141,3.303,3.097,1.21E+18,6.74E+17,1.10E+18,1572864000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2,000",,,,,,,,,,,,71386304,116442304,1.6E-03,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.067,3.304,24.475,19.464,3.198,2.969,1.62E+18,8.98E+17,1.47E+18,2097152000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.037,3.276,23.837,18.773,3.171,2.932,1.62E+18,8.98E+17,1.47E+18,2097152000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.070,3.306,24.657,19.354,3.205,2.963,1.62E+18,8.98E+17,1.47E+18,2097152000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2,500",,,,,,,,,,,,71386304,116442304,2.0E-03,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,2.973,3.251,23.135,17.867,3.141,2.883,2.02E+18,1.12E+18,1.83E+18,2621440000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,2.944,3.227,22.524,17.297,3.115,2.851,2.02E+18,1.12E+18,1.83E+18,2621440000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,2.981,3.262,23.450,17.910,3.155,2.885,2.02E+18,1.12E+18,1.83E+18,2621440000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3,000",,,,,,,,,,,,71386304,116442304,2.4E-03,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,2.932,3.326,22.127,16.792,3.097,2.821,2.43E+18,1.35E+18,2.20E+18,3145728000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,2.908,3.304,21.594,16.315,3.072,2.792,2.43E+18,1.35E+18,2.20E+18,3145728000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,2.938,3.340,22.373,16.854,3.108,2.825,2.43E+18,1.35E+18,2.20E+18,3145728000,71386304,116442304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100M,"1,000",,,,,,,,,,,,99112704,148264704,1.1E-03,1B,,0,32.0K,16,32,512,2048,1.0M,14,768,3072,12,64,2.4M,4.7M,7.1M,22.3K,99.1M,49.2M,148.3M,,,,1.9E+07,1.4E+07,2.8E+07,9.0E+14,1.5E+14,1.1E+15,1.1E+15,20%,39%,14.7%,26.3%,
,,1E-03,3.825,4.040,52.650,54.511,3.964,3.998,1.06E+18,6.24E+17,9.33E+17,1048576000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.654,3.889,45.125,42.395,3.809,3.747,1.06E+18,6.24E+17,9.33E+17,1048576000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,4.363,4.632,83.806,111.477,4.428,4.714,1.06E+18,6.24E+17,9.33E+17,1048576000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,500",,,,,,,,,,,,99112704,148264704,1.6E-03,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.105,3.381,26.066,21.775,3.261,3.081,1.58E+18,9.35E+17,1.40E+18,1572864000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,3.050,3.327,24.771,20.313,3.210,3.011,1.58E+18,9.35E+17,1.40E+18,1572864000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.109,3.383,26.377,21.504,3.273,3.068,1.58E+18,9.35E+17,1.40E+18,1572864000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2,000",,,,,,,,,,,,99112704,148264704,2.1E-03,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-04,4.106,4.356,63.907,86.019,4.157,4.455,2.11E+18,1.25E+18,1.87E+18,2097152000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-04,3.516,3.766,37.472,38.192,3.624,3.643,2.11E+18,1.25E+18,1.87E+18,2097152000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-04,3.207,3.454,27.937,24.237,3.330,3.188,2.11E+18,1.25E+18,1.87E+18,2097152000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8E-04,3.060,3.301,24.255,19.530,3.189,2.972,2.11E+18,1.25E+18,1.87E+18,2097152000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,3.029,3.267,23.546,18.767,3.159,2.932,2.11E+18,1.25E+18,1.87E+18,2097152000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,2.993,3.229,22.757,17.906,3.125,2.885,2.11E+18,1.25E+18,1.87E+18,2097152000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.036,3.271,23.835,18.659,3.171,2.926,2.11E+18,1.25E+18,1.87E+18,2097152000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8E-03,4.653,4.891,109.932,132.080,4.700,4.883,2.11E+18,1.25E+18,1.87E+18,2097152000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2,500",,,,,,,,,,,,99112704,148264704,2.6E-03,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,2.932,3.213,22.139,17.210,3.097,2.845,2.64E+18,1.56E+18,2.33E+18,2621440000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,2.899,3.182,21.522,16.467,3.069,2.801,2.64E+18,1.56E+18,2.33E+18,2621440000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,2.930,3.213,22.243,17.006,3.102,2.834,2.64E+18,1.56E+18,2.33E+18,2621440000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3,000",,,,,,,,,,,,99112704,148264704,3.2E-03,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,2.889,3.285,21.114,16.054,3.050,2.776,3.17E+18,1.87E+18,2.80E+18,3145728000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,2.864,3.263,20.629,15.535,3.027,2.743,3.17E+18,1.87E+18,2.80E+18,3145728000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,2.900,3.297,21.476,16.130,3.067,2.781,3.17E+18,1.87E+18,2.80E+18,3145728000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4,000",,,,,,,,,,,,99112704,148264704,4.2E-03,4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,2.835,3.177,19.924,14.717,2.992,2.689,4.22E+18,2.49E+18,3.73E+18,4194304000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,2.815,3.157,19.575,14.377,2.974,2.666,4.22E+18,2.49E+18,3.73E+18,4194304000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,2.846,3.189,20.259,14.853,3.009,2.698,4.22E+18,2.49E+18,3.73E+18,4194304000,99112704,148264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130M,"2,000",,,,,,,,,,,,132934464,186182464,5.5E-04,2B,,0,32.0K,16,32,512,2048,1.0M,16,832,3328,13,64,2.8M,5.5M,8.3M,27.5K,132.9M,53.2M,186.2M,,,,2.0E+07,1.7E+07,3.3E+07,1.2E+15,1.7E+14,1.3E+15,1.3E+15,21%,41%,12.4%,25.5%,
160M,,,,,,,,,,,,,163805824,221149824,,,,0,32.0K,16,32,512,2048,1.0M,17,896,3584,14,64,3.2M,6.4M,9.6M,31.4K,163.8M,57.3M,221.1M,,,,2.2E+07,1.9E+07,3.9E+07,1.4E+15,1.8E+14,1.6E+15,1.6E+15,21%,43%,11.3%,24.5%,
200M,,,,,,,,,,,,,199101120,,,,,0,32.0K,16,32,512,2048,1.0M,18,960,3840,15,64,3.7M,7.4M,11.1M,35.5K,199.1M,61.4M,260.5M,,,,2.4E+07,2.2E+07,4.4E+07,1.7E+15,1.9E+14,1.9E+15,1.9E+15,22%,44%,10.2%,23.5%,
,"4,000",,,,,,,,,,,,199101120,,7.6E-03,4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-04,3.208,3.546,28.631,25.943,3.355,3.256,7.56E+18,5.01E+18,6.56E+18,4194304000,199101120,260541120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-04,2.940,3.281,21.993,17.677,3.091,2.872,7.56E+18,5.01E+18,6.56E+18,4194304000,199101120,260541120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-04,2.801,3.141,19.165,14.417,2.953,2.668,7.56E+18,5.01E+18,6.56E+18,4194304000,199101120,260541120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8E-04,2.738,3.074,18.041,13.242,2.893,2.583,7.56E+18,5.01E+18,6.56E+18,4194304000,199101120,260541120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,2.725,3.060,17.837,12.987,2.881,2.564,7.56E+18,5.01E+18,6.56E+18,4194304000,199101120,260541120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,2.725,3.064,17.902,12.906,2.885,2.558,7.56E+18,5.01E+18,6.56E+18,4194304000,199101120,260541120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.430,3.776,36.191,29.076,3.589,3.370,7.56E+18,5.01E+18,6.56E+18,4194304000,199101120,260541120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8E-03,4.388,4.660,86.588,94.823,4.461,4.552,7.56E+18,5.01E+18,6.56E+18,4194304000,199101120,260541120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400M,,,,,,,,,,,,,,,,,,0,32.0K,32,16,512,2048,1.0M,20,1280,5120,20,64,6.6M,13.1M,19.7M,52.5K,393.3M,81.9M,475.2M,,,,3.1E+07,3.9E+07,7.9E+07,3.1E+15,2.6E+14,3.4E+15,3.4E+15,24%,49%,7.6%,19.5%,
,"8,000",,,,,,,,,,,,,,1.5E-02,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-04,2.712,3.178,17.890,13.279,2.884,2.586,1.51E+19,1.98E+19,2.39E+19,8388608000,393268480,475188480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-04,2.582,3.035,15.751,11.053,2.757,2.403,1.51E+19,1.98E+19,2.39E+19,8388608000,393268480,475188480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-04,2.517,2.958,14.797,10.097,2.694,2.312,1.51E+19,1.98E+19,2.39E+19,8388608000,393268480,475188480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8E-04,2.487,2.915,14.389,9.577,2.666,2.259,1.51E+19,1.98E+19,2.39E+19,8388608000,393268480,475188480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,2.490,2.921,14.456,9.629,2.671,2.265,1.51E+19,1.98E+19,2.39E+19,8388608000,393268480,475188480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2E-03,2.531,2.998,15.085,10.129,2.714,2.315,1.51E+19,1.98E+19,2.39E+19,8388608000,393268480,475188480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4E-03,3.779,4.152,49.523,46.120,3.902,3.831,1.51E+19,1.98E+19,2.39E+19,8388608000,393268480,475188480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8E-03,2.959,3.417,23.309,17.222,3.149,2.846,1.51E+19,1.98E+19,2.39E+19,8388608000,393268480,475188480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7B,,,,,,,,,,,,,6442717184,,,,1856k,0,32.0K,512,4,1024,4096,4.2M,32,4096,16384,32,128,67.1M,134.2M,201.3M,266.2K,6.4B,262.1M,6.7B,#REF!,#REF!,#REF!,2.0E+08,4.0E+08,8.1E+08,1.9E+17,3.3E+15,1.9E+17,1.9E+17,28%,56%,1.7%,14.0%,0.000
,"500,000",,,,,,,,,,,,6442717184,,9.5E-01,2097B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1E-03,,,,,,,9.45E+20,8.11E+22,8.44E+22,2097152000000,6442717184,6704861184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70B,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.0M,0.0M,0,0.0M,0.0M,0.0M,0.0B,,,,,,,,,,,,,,,
,,1E-03,,,,,,,,0.00E+00,0.00E+00,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
